"customer","staff","date","amount","running_total"
"Aaron Selby","Mike Hillyer","2007-03-02","6.99","1563.34"
"Aaron Selby","Jon Stephens","2007-03-02","5.99","1563.34"
"Randy Gaither","Mike Hillyer","2007-03-02","4.99","1568.33"
"Howard Fortner","Mike Hillyer","2007-03-02","2.99","1571.32"
"Eugene Culpepper","Mike Hillyer","2007-03-02","4.99","1581.30"
"Eugene Culpepper","Mike Hillyer","2007-03-02","4.99","1581.30"
"Carlos Coughlin","Jon Stephens","2007-03-02","3.99","1585.29"
"Russell Brinson","Mike Hillyer","2007-03-02","3.99","1589.28"
"Martin Bales","Mike Hillyer","2007-03-02","4.99","1596.25"
"Martin Bales","Jon Stephens","2007-03-02","0.99","1596.25"
"Martin Bales","Jon Stephens","2007-03-02","0.99","1596.25"
"Phillip Holm","Mike Hillyer","2007-03-02","2.99","1599.24"
"Todd Tan","Jon Stephens","2007-03-02","2.99","1602.23"
"Alan Kahn","Jon Stephens","2007-03-02","2.99","1613.20"
"Alan Kahn","Mike Hillyer","2007-03-02","2.99","1613.20"
"Alan Kahn","Jon Stephens","2007-03-02","4.99","1613.20"
"Clarence Gamez","Mike Hillyer","2007-03-02","4.99","1621.18"
"Clarence Gamez","Jon Stephens","2007-03-02","2.99","1621.18"
"Sean Douglass","Mike Hillyer","2007-03-02","0.99","1622.17"
"Antonio Meek","Jon Stephens","2007-03-02","4.99","1627.16"
"Danny Isom","Jon Stephens","2007-03-02","5.99","1638.14"
"Danny Isom","Mike Hillyer","2007-03-02","4.99","1638.14"
"Luis Yanez","Jon Stephens","2007-03-02","0.99","1639.13"
"Mike Way","Mike Hillyer","2007-03-02","7.99","1661.09"
"Mike Way","Jon Stephens","2007-03-02","9.99","1661.09"
"Mike Way","Jon Stephens","2007-03-02","0.99","1661.09"
"Mike Way","Jon Stephens","2007-03-02","2.99","1661.09"
"Leonard Schofield","Mike Hillyer","2007-03-02","7.99","1669.08"
"Dale Ratcliff","Mike Hillyer","2007-03-02","2.99","1687.05"
"Dale Ratcliff","Mike Hillyer","2007-03-02","8.99","1687.05"
"Dale Ratcliff","Jon Stephens","2007-03-02","5.99","1687.05"
"Manuel Murrell","Jon Stephens","2007-03-02","2.99","1690.04"
"Curtis Irby","Mike Hillyer","2007-03-02","10.99","1709.01"
"Curtis Irby","Mike Hillyer","2007-03-02","6.99","1709.01"
"Curtis Irby","Mike Hillyer","2007-03-02","0.99","1709.01"
"Norman Currier","Jon Stephens","2007-03-02","2.99","1712.00"
"Allen Butterfield","Jon Stephens","2007-03-02","4.99","1716.99"
"Marvin Yee","Jon Stephens","2007-03-02","2.99","1723.96"
"Marvin Yee","Mike Hillyer","2007-03-02","0.99","1723.96"
"Marvin Yee","Mike Hillyer","2007-03-02","2.99","1723.96"
"Glenn Pullen","Jon Stephens","2007-03-02","1.99","1725.95"
"Jeffery Pinson","Jon Stephens","2007-03-02","5.99","1738.93"
"Jeffery Pinson","Mike Hillyer","2007-03-02","6.99","1738.93"
"Travis Estep","Jon Stephens","2007-03-02","0.99","1754.90"
"Travis Estep","Mike Hillyer","2007-03-02","7.99","1754.90"
"Travis Estep","Mike Hillyer","2007-03-02","6.99","1754.90"
"Jeff East","Jon Stephens","2007-03-02","3.99","1766.86"
"Jeff East","Jon Stephens","2007-03-02","1.99","1766.86"
"Jeff East","Jon Stephens","2007-03-02","2.99","1766.86"
"Jeff East","Mike Hillyer","2007-03-02","2.99","1766.86"
"Chad Carbone","Jon Stephens","2007-03-02","4.99","1780.82"
"Chad Carbone","Mike Hillyer","2007-03-02","2.99","1780.82"
"Chad Carbone","Jon Stephens","2007-03-02","2.99","1780.82"
"Chad Carbone","Mike Hillyer","2007-03-02","2.99","1780.82"
"Jacob Lance","Jon Stephens","2007-03-02","5.99","1786.81"
"Lee Hawks","Mike Hillyer","2007-03-02","4.99","1794.79"
"Lee Hawks","Jon Stephens","2007-03-02","2.99","1794.79"
"Melvin Ellington","Jon Stephens","2007-03-02","6.99","1801.78"
"Alfred Casillas","Mike Hillyer","2007-03-02","2.99","1804.77"
"Kyle Spurlock","Jon Stephens","2007-03-02","2.99","1807.76"
"Bradley Motley","Jon Stephens","2007-03-02","0.99","1808.75"
"Jesus Mccartney","Mike Hillyer","2007-03-02","5.99","1814.74"
"Joel Francisco","Jon Stephens","2007-03-02","6.99","1821.73"
"Eddie Tomlin","Mike Hillyer","2007-03-02","3.99","1825.72"
"Ricky Shelby","Mike Hillyer","2007-03-02","6.99","1835.70"
"Ricky Shelby","Mike Hillyer","2007-03-02","2.99","1835.70"
"Troy Quigley","Jon Stephens","2007-03-02","0.99","1836.69"
"Randall Neumann","Jon Stephens","2007-03-02","3.99","1840.68"
"Alexander Fennell","Jon Stephens","2007-03-02","6.99","1850.66"
"Alexander Fennell","Mike Hillyer","2007-03-02","2.99","1850.66"
"Mario Cheatham","Jon Stephens","2007-03-02","1.99","1852.65"
"Francisco Skidmore","Mike Hillyer","2007-03-02","4.99","1857.64"
"Marcus Hidalgo","Jon Stephens","2007-03-02","6.99","1865.62"
"Marcus Hidalgo","Jon Stephens","2007-03-02","0.99","1865.62"
"Micheal Forman","Jon Stephens","2007-03-02","9.99","1883.60"
"Micheal Forman","Mike Hillyer","2007-03-02","7.99","1883.60"
"Theodore Culp","Mike Hillyer","2007-03-02","3.99","1887.59"
"Clifford Bowens","Jon Stephens","2007-03-02","0.99","1900.56"
"Clifford Bowens","Mike Hillyer","2007-03-02","5.99","1900.56"
"Clifford Bowens","Jon Stephens","2007-03-02","5.99","1900.56"
"Jay Robb","Mike Hillyer","2007-03-02","3.99","1904.55"
"Jim Rea","Jon Stephens","2007-03-02","6.99","1921.52"
"Jim Rea","Jon Stephens","2007-03-02","2.99","1921.52"
"Jim Rea","Jon Stephens","2007-03-02","6.99","1921.52"
"Lloyd Dowd","Jon Stephens","2007-03-02","2.99","1924.51"
"Leon Bostic","Mike Hillyer","2007-03-02","1.99","1926.50"
"Derek Blakely","Jon Stephens","2007-03-02","0.99","1928.48"
"Derek Blakely","Jon Stephens","2007-03-02","0.99","1928.48"
"Darrell Power","Jon Stephens","2007-03-02","2.99","1931.47"
"Jerome Kenyon","Jon Stephens","2007-03-02","1.99","1933.46"
"Floyd Gandy","Mike Hillyer","2007-03-02","2.99","1936.45"
"Leo Ebert","Jon Stephens","2007-03-02","0.99","1942.43"
"Leo Ebert","Mike Hillyer","2007-03-02","4.99","1942.43"
"Alvin Deloach","Jon Stephens","2007-03-02","2.99","1945.42"
"Tim Cary","Jon Stephens","2007-03-02","10.99","1956.41"
"Wesley Bull","Jon Stephens","2007-03-02","0.99","1957.40"
"Gordon Allard","Jon Stephens","2007-03-02","1.99","1964.38"
"Gordon Allard","Jon Stephens","2007-03-02","4.99","1964.38"
"Jorge Olivares","Jon Stephens","2007-03-02","7.99","1981.34"
"Jorge Olivares","Jon Stephens","2007-03-02","2.99","1981.34"
"Jorge Olivares","Mike Hillyer","2007-03-02","0.99","1981.34"
"Jorge Olivares","Mike Hillyer","2007-03-02","4.99","1981.34"
"Dustin Gillette","Mike Hillyer","2007-03-02","2.99","1985.32"
"Dustin Gillette","Jon Stephens","2007-03-02","0.99","1985.32"
"Pedro Chestnut","Mike Hillyer","2007-03-02","5.99","1991.31"
"Dan Paine","Jon Stephens","2007-03-02","0.99","1992.30"
"Zachary Hite","Jon Stephens","2007-03-02","4.99","1997.29"
"Corey Hauser","Mike Hillyer","2007-03-02","5.99","2004.27"
"Corey Hauser","Jon Stephens","2007-03-02","0.99","2004.27"
"Herman Devore","Jon Stephens","2007-03-02","2.99","2008.25"
"Herman Devore","Jon Stephens","2007-03-02","0.99","2008.25"
"Vernon Chapa","Mike Hillyer","2007-03-02","6.99","2015.24"
"Clyde Tobias","Jon Stephens","2007-03-02","3.99","2019.23"
"Glen Talbert","Jon Stephens","2007-03-02","4.99","2024.22"
"Hector Poindexter","Mike Hillyer","2007-03-02","9.99","2034.21"
"Ricardo Meador","Jon Stephens","2007-03-02","9.99","2044.20"
"Sam Mcduffie","Mike Hillyer","2007-03-02","7.99","2052.19"
"Rick Mattox","Jon Stephens","2007-03-02","6.99","2064.17"
"Rick Mattox","Mike Hillyer","2007-03-02","4.99","2064.17"
"Ramon Choate","Jon Stephens","2007-03-02","3.99","2068.16"
"Tyler Wren","Jon Stephens","2007-03-02","4.99","2081.14"
"Tyler Wren","Mike Hillyer","2007-03-02","7.99","2081.14"
"Gene Sanborn","Mike Hillyer","2007-03-02","6.99","2088.13"
"Reginald Kinder","Mike Hillyer","2007-03-02","6.99","2097.11"
"Reginald Kinder","Jon Stephens","2007-03-02","1.99","2097.11"
"Ruben Geary","Jon Stephens","2007-03-02","4.99","2102.10"
"Brett Cornwell","Jon Stephens","2007-03-02","4.99","2115.05"
"Brett Cornwell","Mike Hillyer","2007-03-02","0.99","2115.05"
"Brett Cornwell","Mike Hillyer","2007-03-02","0.99","2115.05"
"Brett Cornwell","Mike Hillyer","2007-03-02","4.99","2115.05"
"Brett Cornwell","Mike Hillyer","2007-03-02","0.99","2115.05"
"Angel Barclay","Jon Stephens","2007-03-02","2.99","2120.03"
"Angel Barclay","Mike Hillyer","2007-03-02","1.99","2120.03"
"Rafael Abney","Mike Hillyer","2007-03-02","0.99","2121.02"
"Leslie Seward","Jon Stephens","2007-03-02","0.99","2122.01"
"Milton Howland","Jon Stephens","2007-03-02","6.99","2131.99"
"Milton Howland","Mike Hillyer","2007-03-02","2.99","2131.99"
"Raul Fortier","Jon Stephens","2007-03-02","5.99","2137.98"
"Duane Tubbs","Mike Hillyer","2007-03-02","2.99","2147.95"
"Duane Tubbs","Mike Hillyer","2007-03-02","3.99","2147.95"
"Duane Tubbs","Jon Stephens","2007-03-02","2.99","2147.95"
"Andre Rapp","Mike Hillyer","2007-03-02","3.99","2151.94"
"Gabriel Harder","Jon Stephens","2007-03-02","3.99","2155.93"
"Adrian Clary","Jon Stephens","2007-03-02","2.99","2158.92"
"Karl Seal","Jon Stephens","2007-03-02","4.99","2163.91"
"Cory Meehan","Mike Hillyer","2007-03-02","2.99","2172.89"
"Cory Meehan","Mike Hillyer","2007-03-02","5.99","2172.89"
"Darryl Ashcraft","Mike Hillyer","2007-03-02","0.99","2173.88"
"Jamie Waugh","Mike Hillyer","2007-03-02","10.99","2200.84"
"Jamie Waugh","Jon Stephens","2007-03-02","4.99","2200.84"
"Jamie Waugh","Mike Hillyer","2007-03-02","5.99","2200.84"
"Jamie Waugh","Jon Stephens","2007-03-02","4.99","2200.84"
"Neil Renner","Jon Stephens","2007-03-02","4.99","2214.81"
"Neil Renner","Mike Hillyer","2007-03-02","5.99","2214.81"
"Neil Renner","Jon Stephens","2007-03-02","2.99","2214.81"
"Christian Jung","Jon Stephens","2007-03-02","5.99","2220.80"
"Fernando Churchill","Mike Hillyer","2007-03-02","6.99","2227.79"
"Ted Breaux","Mike Hillyer","2007-03-02","4.99","2232.78"
"Mathew Bolin","Jon Stephens","2007-03-02","3.99","2236.77"
"Tyrone Asher","Jon Stephens","2007-03-02","4.99","2261.73"
"Tyrone Asher","Jon Stephens","2007-03-02","6.99","2261.73"
"Tyrone Asher","Mike Hillyer","2007-03-02","8.99","2261.73"
"Tyrone Asher","Mike Hillyer","2007-03-02","3.99","2261.73"
"Darren Windham","Jon Stephens","2007-03-02","0.99","2262.72"
"Lance Pemberton","Jon Stephens","2007-03-02","9.99","2272.71"
"Cody Nolen","Mike Hillyer","2007-03-02","3.99","2276.70"
"Julio Noland","Jon Stephens","2007-03-02","2.99","2279.69"
"Kelly Knott","Jon Stephens","2007-03-02","5.99","2285.68"
"Kurt Emmons","Jon Stephens","2007-03-02","5.99","2300.64"
"Kurt Emmons","Mike Hillyer","2007-03-02","2.99","2300.64"
"Kurt Emmons","Mike Hillyer","2007-03-02","4.99","2300.64"
"Kurt Emmons","Jon Stephens","2007-03-02","0.99","2300.64"
"Guy Brownlee","Mike Hillyer","2007-03-02","2.99","2304.62"
"Guy Brownlee","Jon Stephens","2007-03-02","0.99","2304.62"
"Clayton Barbee","Jon Stephens","2007-03-02","0.99","2305.61"
"Hugh Waldrop","Mike Hillyer","2007-03-02","1.99","2320.58"
"Hugh Waldrop","Jon Stephens","2007-03-02","7.99","2320.58"
"Hugh Waldrop","Jon Stephens","2007-03-02","4.99","2320.58"
"Dwight Lombardi","Mike Hillyer","2007-03-02","3.99","2329.56"
"Dwight Lombardi","Mike Hillyer","2007-03-02","4.99","2329.56"
"Armando Gruber","Mike Hillyer","2007-03-02","1.99","2331.55"
"Felix Gaffney","Mike Hillyer","2007-03-02","0.99","2332.54"
"Jimmie Eggleston","Mike Hillyer","2007-03-02","0.99","2333.53"
"Everett Banda","Jon Stephens","2007-03-02","1.99","2335.52"
"Jordan Archuleta","Mike Hillyer","2007-03-02","7.99","2343.51"
"Ian Still","Mike Hillyer","2007-03-02","4.99","2354.48"
"Ian Still","Mike Hillyer","2007-03-02","2.99","2354.48"
"Ian Still","Jon Stephens","2007-03-02","2.99","2354.48"
"Jaime Nettles","Mike Hillyer","2007-03-02","3.99","2369.45"
"Jaime Nettles","Jon Stephens","2007-03-02","3.99","2369.45"
"Jaime Nettles","Jon Stephens","2007-03-02","6.99","2369.45"
"Casey Mena","Jon Stephens","2007-03-02","2.99","2372.44"
"Alberto Henning","Mike Hillyer","2007-03-02","2.99","2375.43"
"Dave Gardiner","Jon Stephens","2007-03-02","4.99","2389.40"
"Dave Gardiner","Mike Hillyer","2007-03-02","6.99","2389.40"
"Dave Gardiner","Mike Hillyer","2007-03-02","1.99","2389.40"
"Ivan Cromwell","Mike Hillyer","2007-03-02","3.99","2393.39"
"Johnnie Chisholm","Jon Stephens","2007-03-02","7.99","2404.37"
"Johnnie Chisholm","Jon Stephens","2007-03-02","2.99","2404.37"
"Sidney Burleson","Mike Hillyer","2007-03-02","4.99","2418.33"
"Sidney Burleson","Jon Stephens","2007-03-02","2.99","2418.33"
"Sidney Burleson","Mike Hillyer","2007-03-02","4.99","2418.33"
"Sidney Burleson","Mike Hillyer","2007-03-02","0.99","2418.33"
"Byron Box","Mike Hillyer","2007-03-02","0.99","2419.32"
"Isaac Oglesby","Mike Hillyer","2007-03-02","3.99","2428.30"
"Isaac Oglesby","Mike Hillyer","2007-03-02","4.99","2428.30"
"Clifton Malcolm","Mike Hillyer","2007-03-02","7.99","2437.28"
"Clifton Malcolm","Jon Stephens","2007-03-02","0.99","2437.28"
"Willard Lumpkin","Mike Hillyer","2007-03-02","7.99","2445.27"
"Daryl Larue","Mike Hillyer","2007-03-02","3.99","2449.26"
"Ross Grey","Mike Hillyer","2007-03-02","8.99","2462.24"
"Ross Grey","Jon Stephens","2007-03-02","3.99","2462.24"
"Virgil Wofford","Jon Stephens","2007-03-02","2.99","2465.23"
"Andy Vanhorn","Jon Stephens","2007-03-02","7.99","2473.22"
"Marshall Thorn","Jon Stephens","2007-03-02","4.99","2478.21"
"Salvador Teel","Mike Hillyer","2007-03-02","4.99","2489.18"
"Salvador Teel","Jon Stephens","2007-03-02","0.99","2489.18"
"Salvador Teel","Mike Hillyer","2007-03-02","4.99","2489.18"
"Perry Swafford","Mike Hillyer","2007-03-02","9.99","2499.17"
"Kirk Stclair","Mike Hillyer","2007-03-02","2.99","2502.16"
"Sergio Stanfield","Mike Hillyer","2007-03-02","2.99","2510.14"
"Sergio Stanfield","Jon Stephens","2007-03-02","4.99","2510.14"
"Terrance Roush","Mike Hillyer","2007-03-02","8.99","2519.13"
"Rene Mcalister","Jon Stephens","2007-03-02","4.99","2524.12"
"Terrence Gunderson","Mike Hillyer","2007-03-02","2.99","2527.11"
"Enrique Forsythe","Jon Stephens","2007-03-02","4.99","2532.10"
"Freddie Duggan","Jon Stephens","2007-03-02","4.99","2549.06"
"Freddie Duggan","Mike Hillyer","2007-03-02","2.99","2549.06"
"Freddie Duggan","Jon Stephens","2007-03-02","2.99","2549.06"
"Freddie Duggan","Jon Stephens","2007-03-02","5.99","2549.06"
"Wade Delvalle","Jon Stephens","2007-03-02","0.99","2550.05"
"Barbara Jones","Jon Stephens","2007-03-16","4.99","4.99"
"Maria Miller","Jon Stephens","2007-03-16","7.99","12.98"
"Margaret Moore","Mike Hillyer","2007-03-16","0.99","13.97"
"Lisa Anderson","Jon Stephens","2007-03-16","0.99","14.96"
"Nancy Thomas","Jon Stephens","2007-03-16","0.99","15.95"
"Betty White","Jon Stephens","2007-03-16","3.99","19.94"
"Ruth Martinez","Jon Stephens","2007-03-16","8.99","28.93"
"Sarah Lewis","Jon Stephens","2007-03-16","2.99","31.92"
"Kimberly Lee","Jon Stephens","2007-03-16","2.99","34.91"
"Rebecca Scott","Mike Hillyer","2007-03-16","2.99","37.90"
"Louise Jenkins","Mike Hillyer","2007-03-16","5.99","43.89"
"Ruby Washington","Mike Hillyer","2007-03-16","0.99","44.88"
"Grace Ellis","Mike Hillyer","2007-03-16","4.99","49.87"
"Sherry Marshall","Mike Hillyer","2007-03-16","5.99","55.86"
"Clara Shaw","Mike Hillyer","2007-03-16","7.99","63.85"
"Valerie Black","Mike Hillyer","2007-03-16","2.99","66.84"
"Regina Berry","Mike Hillyer","2007-03-16","0.99","67.83"
"Bernice Willis","Jon Stephens","2007-03-16","6.99","74.82"
"Yvonne Watkins","Mike Hillyer","2007-03-16","0.99","75.81"
"Tamara Nguyen","Mike Hillyer","2007-03-16","4.99","80.80"
"Joy George","Mike Hillyer","2007-03-16","5.99","86.79"
"Marcia Dean","Jon Stephens","2007-03-16","5.99","92.78"
"Nellie Garrett","Jon Stephens","2007-03-16","5.99","98.77"
"Stella Moreno","Mike Hillyer","2007-03-16","0.99","99.76"
"Marsha Douglas","Jon Stephens","2007-03-16","6.99","106.75"
"Gwendolyn May","Mike Hillyer","2007-03-16","3.99","114.72"
"Gwendolyn May","Mike Hillyer","2007-03-16","2.99","114.72"
"Gwendolyn May","Jon Stephens","2007-03-16","0.99","114.72"
"Priscilla Lowe","Jon Stephens","2007-03-16","4.99","119.71"
"Billie Horton","Jon Stephens","2007-03-16","0.99","120.70"
"Dianne Shelton","Mike Hillyer","2007-03-16","2.99","123.69"
"Tracey Barrett","Mike Hillyer","2007-03-16","2.99","126.68"
"Anthony Schwab","Jon Stephens","2007-03-16","2.99","129.67"
"Matthew Mahan","Jon Stephens","2007-03-16","0.99","130.66"
"Stephen Qualls","Jon Stephens","2007-03-16","2.99","133.65"
"Walter Perryman","Mike Hillyer","2007-03-16","2.99","136.64"
"Harold Martino","Mike Hillyer","2007-03-16","0.99","137.63"
"Juan Fraley","Jon Stephens","2007-03-16","0.99","138.62"
"Gerald Fultz","Mike Hillyer","2007-03-16","3.99","142.61"
"Ralph Madrigal","Jon Stephens","2007-03-16","4.99","147.60"
"Wayne Truong","Mike Hillyer","2007-03-16","1.99","149.59"
"Steve Mackenzie","Jon Stephens","2007-03-16","4.99","154.58"
"Louis Leone","Jon Stephens","2007-03-16","7.99","162.57"
"Bobby Boudreau","Mike Hillyer","2007-03-16","2.99","165.56"
"Phillip Holm","Mike Hillyer","2007-03-16","2.99","168.55"
"Jimmy Schrader","Jon Stephens","2007-03-16","4.99","173.54"
"Bryan Hardison","Jon Stephens","2007-03-16","6.99","183.52"
"Bryan Hardison","Jon Stephens","2007-03-16","2.99","183.52"
"Luis Yanez","Jon Stephens","2007-03-16","4.99","188.51"
"Mike Way","Jon Stephens","2007-03-16","0.99","189.50"
"Dale Ratcliff","Jon Stephens","2007-03-16","4.99","194.49"
"Marvin Yee","Mike Hillyer","2007-03-16","0.99","195.48"
"Jeffery Pinson","Mike Hillyer","2007-03-16","6.99","202.47"
"Lee Hawks","Mike Hillyer","2007-03-16","3.99","206.46"
"Alfred Casillas","Jon Stephens","2007-03-16","4.99","211.45"
"Kyle Spurlock","Jon Stephens","2007-03-16","6.99","218.44"
"Herbert Kruger","Jon Stephens","2007-03-16","0.99","219.43"
"Joel Francisco","Jon Stephens","2007-03-16","2.99","222.42"
"Alexander Fennell","Jon Stephens","2007-03-16","5.99","228.41"
"Leon Bostic","Jon Stephens","2007-03-16","2.99","231.40"
"Dustin Gillette","Jon Stephens","2007-03-16","2.99","234.39"
"Maurice Crawley","Jon Stephens","2007-03-16","6.99","241.38"
"Marc Outlaw","Mike Hillyer","2007-03-16","7.99","249.37"
"Nathaniel Adam","Jon Stephens","2007-03-16","2.99","252.36"
"Mitchell Westmoreland","Mike Hillyer","2007-03-16","0.99","253.35"
"Karl Seal","Mike Hillyer","2007-03-16","10.99","264.34"
"Jessie Milam","Jon Stephens","2007-03-16","7.99","272.33"
"Jimmie Eggleston","Jon Stephens","2007-03-16","5.99","278.32"
"Jaime Nettles","Jon Stephens","2007-03-16","4.99","283.31"
"Sidney Burleson","Mike Hillyer","2007-03-16","4.99","288.30"
"Salvador Teel","Jon Stephens","2007-03-16","6.99","295.29"
"Austin Cintron","Jon Stephens","2007-03-16","3.99","299.28"
"Mary Smith","Jon Stephens","2007-03-17","4.99","4.99"
"Patricia Johnson","Mike Hillyer","2007-03-17","2.99","7.98"
"Barbara Jones","Mike Hillyer","2007-03-17","2.99","10.97"
"Elizabeth Brown","Mike Hillyer","2007-03-17","9.99","24.95"
"Elizabeth Brown","Jon Stephens","2007-03-17","3.99","24.95"
"Jennifer Davis","Mike Hillyer","2007-03-17","6.99","33.92"
"Jennifer Davis","Mike Hillyer","2007-03-17","0.99","33.92"
"Jennifer Davis","Mike Hillyer","2007-03-17","0.99","33.92"
"Dorothy Taylor","Jon Stephens","2007-03-17","2.99","36.91"
"Lisa Anderson","Jon Stephens","2007-03-17","5.99","42.90"
"Karen Jackson","Jon Stephens","2007-03-17","5.99","48.89"
"Helen Harris","Mike Hillyer","2007-03-17","7.99","56.88"
"Sandra Martin","Jon Stephens","2007-03-17","2.99","59.87"
"Donna Thompson","Jon Stephens","2007-03-17","4.99","64.86"
"Ruth Martinez","Mike Hillyer","2007-03-17","5.99","70.85"
"Sharon Robinson","Mike Hillyer","2007-03-17","0.99","72.83"
"Sharon Robinson","Mike Hillyer","2007-03-17","0.99","72.83"
"Michelle Clark","Jon Stephens","2007-03-17","2.99","76.81"
"Michelle Clark","Jon Stephens","2007-03-17","0.99","76.81"
"Laura Rodriguez","Mike Hillyer","2007-03-17","2.99","85.79"
"Laura Rodriguez","Mike Hillyer","2007-03-17","5.99","85.79"
"Kimberly Lee","Jon Stephens","2007-03-17","8.99","94.78"
"Deborah Walker","Mike Hillyer","2007-03-17","0.99","95.77"
"Jessica Hall","Mike Hillyer","2007-03-17","5.99","101.76"
"Shirley Allen","Jon Stephens","2007-03-17","6.99","123.73"
"Shirley Allen","Mike Hillyer","2007-03-17","8.99","123.73"
"Shirley Allen","Jon Stephens","2007-03-17","5.99","123.73"
"Cynthia Young","Mike Hillyer","2007-03-17","3.99","127.72"
"Angela Hernandez","Jon Stephens","2007-03-17","2.99","130.71"
"Brenda Wright","Jon Stephens","2007-03-17","4.99","135.70"
"Amy Lopez","Jon Stephens","2007-03-17","4.99","140.69"
"Rebecca Scott","Jon Stephens","2007-03-17","4.99","145.68"
"Virginia Green","Mike Hillyer","2007-03-17","4.99","155.66"
"Virginia Green","Mike Hillyer","2007-03-17","4.99","155.66"
"Kathleen Adams","Mike Hillyer","2007-03-17","4.99","165.64"
"Kathleen Adams","Jon Stephens","2007-03-17","4.99","165.64"
"Martha Gonzalez","Mike Hillyer","2007-03-17","4.99","171.62"
"Martha Gonzalez","Jon Stephens","2007-03-17","0.99","171.62"
"Amanda Carter","Jon Stephens","2007-03-17","3.99","176.60"
"Amanda Carter","Jon Stephens","2007-03-17","0.99","176.60"
"Stephanie Mitchell","Jon Stephens","2007-03-17","2.99","183.58"
"Stephanie Mitchell","Jon Stephens","2007-03-17","3.99","183.58"
"Christine Roberts","Mike Hillyer","2007-03-17","4.99","188.57"
"Janet Phillips","Mike Hillyer","2007-03-17","2.99","191.56"
"Catherine Campbell","Jon Stephens","2007-03-17","4.99","197.54"
"Catherine Campbell","Mike Hillyer","2007-03-17","0.99","197.54"
"Alice Stewart","Jon Stephens","2007-03-17","4.99","209.52"
"Alice Stewart","Jon Stephens","2007-03-17","6.99","209.52"
"Julie Sanchez","Mike Hillyer","2007-03-17","3.99","213.51"
"Heather Morris","Mike Hillyer","2007-03-17","5.99","219.50"
"Teresa Rogers","Jon Stephens","2007-03-17","2.99","222.49"
"Gloria Cook","Mike Hillyer","2007-03-17","4.99","227.48"
"Mildred Bailey","Mike Hillyer","2007-03-17","1.99","229.47"
"Katherine Rivera","Mike Hillyer","2007-03-17","9.99","239.46"
"Joan Cooper","Mike Hillyer","2007-03-17","0.99","240.45"
"Ashley Richardson","Mike Hillyer","2007-03-17","4.99","245.44"
"Rose Howard","Mike Hillyer","2007-03-17","7.99","256.42"
"Rose Howard","Jon Stephens","2007-03-17","2.99","256.42"
"Janice Ward","Mike Hillyer","2007-03-17","5.99","263.40"
"Janice Ward","Mike Hillyer","2007-03-17","0.99","263.40"
"Kelly Torres","Mike Hillyer","2007-03-17","8.99","272.39"
"Judy Gray","Mike Hillyer","2007-03-17","2.99","282.36"
"Judy Gray","Mike Hillyer","2007-03-17","2.99","282.36"
"Judy Gray","Mike Hillyer","2007-03-17","3.99","282.36"
"Christina Ramirez","Mike Hillyer","2007-03-17","4.99","290.34"
"Christina Ramirez","Mike Hillyer","2007-03-17","2.99","290.34"
"Theresa Watson","Mike Hillyer","2007-03-17","2.99","304.30"
"Theresa Watson","Mike Hillyer","2007-03-17","2.99","304.30"
"Theresa Watson","Mike Hillyer","2007-03-17","4.99","304.30"
"Theresa Watson","Jon Stephens","2007-03-17","2.99","304.30"
"Beverly Brooks","Jon Stephens","2007-03-17","3.99","308.29"
"Tammy Sanders","Mike Hillyer","2007-03-17","2.99","311.28"
"Jane Bennett","Mike Hillyer","2007-03-17","6.99","326.26"
"Jane Bennett","Jon Stephens","2007-03-17","7.99","326.26"
"Rachel Barnes","Jon Stephens","2007-03-17","4.99","331.25"
"Marilyn Ross","Mike Hillyer","2007-03-17","1.99","334.23"
"Marilyn Ross","Jon Stephens","2007-03-17","0.99","334.23"
"Andrea Henderson","Mike Hillyer","2007-03-17","5.99","345.21"
"Andrea Henderson","Jon Stephens","2007-03-17","4.99","345.21"
"Kathryn Coleman","Jon Stephens","2007-03-17","5.99","351.20"
"Louise Jenkins","Jon Stephens","2007-03-17","4.99","356.19"
"Sara Perry","Jon Stephens","2007-03-17","0.99","362.17"
"Sara Perry","Jon Stephens","2007-03-17","4.99","362.17"
"Anne Powell","Jon Stephens","2007-03-17","0.99","363.16"
"Jacqueline Long","Jon Stephens","2007-03-17","0.99","364.15"
"Julia Flores","Mike Hillyer","2007-03-17","3.99","368.14"
"Ruby Washington","Jon Stephens","2007-03-17","0.99","369.13"
"Tina Simmons","Mike Hillyer","2007-03-17","4.99","374.12"
"Diana Alexander","Mike Hillyer","2007-03-17","3.99","383.10"
"Diana Alexander","Jon Stephens","2007-03-17","4.99","383.10"
"Lillian Griffin","Mike Hillyer","2007-03-17","5.99","392.08"
"Lillian Griffin","Mike Hillyer","2007-03-17","2.99","392.08"
"Peggy Myers","Jon Stephens","2007-03-17","4.99","400.06"
"Peggy Myers","Jon Stephens","2007-03-17","2.99","400.06"
"Rita Graham","Mike Hillyer","2007-03-17","2.99","403.05"
"Connie Wallace","Mike Hillyer","2007-03-17","7.99","411.04"
"Tracy Cole","Jon Stephens","2007-03-17","2.99","414.03"
"Edna West","Jon Stephens","2007-03-17","6.99","421.02"
"Tiffany Jordan","Mike Hillyer","2007-03-17","7.99","429.01"
"Rosa Reynolds","Jon Stephens","2007-03-17","3.99","445.98"
"Rosa Reynolds","Jon Stephens","2007-03-17","4.99","445.98"
"Rosa Reynolds","Mike Hillyer","2007-03-17","7.99","445.98"
